Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Netherlands,Eredivisie,24/11/96,Waalwijk,For Sittard,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,30/11/96,Heerenveen,Utrecht,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,30/11/96,NAC Breda,Graafschap,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,30/11/96,PSV Eindhoven,Nijmegen,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,30/11/96,Willem II,Roda JC,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,01/12/96,Ajax,Groningen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,01/12/96,Vitesse,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,01/12/96,Volendam,Twente,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,01/12/96,Waalwijk,Sparta,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,06/12/96,Waalwijk,Willem II,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/12/96,Heerenveen,For Sittard,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/12/96,PSV Eindhoven,Volendam,6.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/12/96,Roda JC,Groningen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/12/96,AZ Alkmaar,Ajax,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/12/96,Graafschap,Feyenoord,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/12/96,Nijmegen,NAC Breda,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/12/96,Sparta,Vitesse,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/12/96,Twente,Utrecht,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,18/12/96,Feyenoord,Roda JC,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,18/12/96,For Sittard,NAC Breda,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/12/96,Willem II,Utrecht,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/12/96,For Sittard,Waalwijk,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/12/96,Roda JC,Heerenveen,6.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/12/96,Ajax,PSV Eindhoven,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/12/96,Nijmegen,Feyenoord,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
